frame,time_s,left_h_m,left_h_raw_m,left_conf,right_h_m,right_h_raw_m,right_conf
285,4.75,2.0014,2.0013,0.98,2.0025,2.0025,0.955
286,4.7667,2.0013,2.0013,0.98,2.0024,2.0024,0.95
287,4.7833,2.0013,2.0013,0.98,2.0022,2.0024,0.95
288,4.8,2.0012,2.0012,0.98,2.002,2.0019,0.941
289,4.8167,2.0011,2.0012,0.98,2.0019,2.0019,0.94
290,4.8333,2.0011,2.0011,0.981,2.0017,2.0018,0.937
291,4.85,2.001,2.0011,0.981,2.0016,2.0018,0.937
292,4.8667,2.0009,2.0009,0.982,2.0014,2.0012,0.941
293,4.8833,2.0009,2.0008,0.982,2.0012,2.0012,0.941
294,4.9,2.0008,2.0007,0.982,2.001,2.0009,0.941
295,4.9167,2.0007,2.0007,0.982,2.0008,2.0009,0.941
296,4.9333,2.0007,2.0007,0.981,2.0005,2.0007,0.94
297,4.95,2.0006,2.0007,0.981,2.0002,2.0007,0.939
298,4.9667,2.0006,2.0005,0.981,2.0,1.9997,0.945
299,4.9833,2.0006,2.0005,0.981,1.9998,1.9997,0.945
300,5.0,2.0007,2.0003,0.981,1.9996,1.9992,0.943
301,5.0167,2.0007,2.0003,0.982,1.9993,1.9992,0.943
302,5.0333,2.0008,2.0009,0.978,1.999,1.9992,0.945
303,5.05,2.0008,2.0009,0.978,1.9988,1.9992,0.945
304,5.0667,2.0009,2.0011,0.977,1.9984,1.9986,0.947
305,5.0833,2.0009,2.0011,0.977,1.9981,1.9986,0.947
306,5.1,2.0009,2.0012,0.976,1.9976,1.9979,0.942
307,5.1167,2.0009,2.0012,0.975,1.9972,1.9979,0.942
308,5.1333,2.0008,2.0008,0.977,1.9965,1.9962,0.961
309,5.15,2.0007,2.0008,0.977,1.996,1.9962,0.961
310,5.1667,2.0006,2.0004,0.976,1.9954,1.995,0.959
311,5.1833,2.0005,2.0004,0.976,1.9948,1.995,0.959
312,5.2,2.0004,2.0003,0.974,1.9941,1.9936,0.949
313,5.2167,2.0003,2.0003,0.974,1.9936,1.9936,0.949
314,5.2333,2.0002,2.0003,0.973,1.9929,1.993,0.949
315,5.25,2.0002,2.0003,0.973,1.9924,1.993,0.949
316,5.2667,2.0001,2.0001,0.969,1.9917,1.9915,0.947
317,5.2833,2.0001,2.0001,0.969,1.9911,1.9914,0.947
318,5.3,2.0001,2.0,0.968,1.9904,1.9903,0.931
319,5.3167,2.0,2.0,0.968,1.9898,1.9903,0.93
320,5.3333,2.0,1.9999,0.966,1.9891,1.9884,0.936
321,5.35,2.0,1.9999,0.966,1.9885,1.9884,0.935
322,5.3667,2.0001,1.9999,0.963,1.9879,1.9873,0.926
323,5.3833,2.0002,1.9999,0.963,1.9874,1.9873,0.926
324,5.4,2.0002,2.0003,0.961,1.9868,1.9866,0.928
325,5.4167,2.0003,2.0003,0.961,1.9863,1.9866,0.928
326,5.4333,2.0003,2.0006,0.958,1.9857,1.9858,0.932
327,5.45,2.0004,2.0006,0.958,1.9853,1.9858,0.932
328,5.4667,2.0004,2.0006,0.957,1.9848,1.9846,0.946
329,5.4833,2.0004,2.0006,0.957,1.9843,1.9846,0.946
330,5.5,2.0004,2.0003,0.956,1.9839,1.9832,0.933
331,5.5167,2.0004,2.0003,0.956,1.9836,1.9832,0.933
332,5.5333,2.0003,2.0003,0.956,1.9832,1.9827,0.924
333,5.55,2.0003,2.0003,0.956,1.983,1.9827,0.924
334,5.5667,2.0002,2.0002,0.955,1.9828,1.9826,0.923
335,5.5833,2.0002,2.0002,0.955,1.9828,1.9826,0.923
336,5.6,2.0002,2.0002,0.953,1.9828,1.9827,0.925
337,5.6167,2.0002,2.0002,0.953,1.9829,1.9826,0.924
338,5.6333,2.0002,2.0001,0.95,1.983,1.9832,0.933
339,5.65,2.0002,2.0001,0.95,1.9831,1.9832,0.933
340,5.6667,2.0003,2.0001,0.948,1.9833,1.9831,0.934
341,5.6833,2.0005,2.0001,0.948,1.9835,1.9831,0.934
342,5.7,2.0006,2.0006,0.942,1.9837,1.9837,0.94
343,5.7167,2.0008,2.0006,0.942,1.9838,1.9837,0.94
344,5.7333,2.001,2.0012,0.935,1.9842,1.9842,0.938
345,5.75,2.0012,2.0012,0.935,1.9846,1.9842,0.938
346,5.7667,2.0014,2.0015,0.932,1.9852,1.9847,0.93
347,5.7833,2.0015,2.0015,0.932,1.9857,1.9847,0.93
348,5.8,2.0016,2.0019,0.926,1.9863,1.9868,0.916
349,5.8167,2.0016,2.0019,0.926,1.9868,1.9868,0.916
350,5.8333,2.0016,2.0019,0.922,1.9877,1.9879,0.914
351,5.85,2.0016,2.0019,0.922,1.9885,1.9879,0.914
352,5.8667,2.0017,2.0012,0.922,1.9896,1.9891,0.918
353,5.8833,2.0018,2.0012,0.922,1.9905,1.989,0.918
354,5.9,2.0019,2.0013,0.916,1.9918,1.9921,0.92
355,5.9167,2.0019,2.0013,0.916,1.993,1.9921,0.92
356,5.9333,2.0021,2.0027,0.916,1.9948,1.9949,0.918
357,5.95,2.0022,2.0027,0.916,1.9964,1.9949,0.917
358,5.9667,2.0024,2.0025,0.918,1.9984,1.9987,0.915
359,5.9833,2.0026,2.0025,0.918,2.0001,1.9987,0.915
360,6.0,2.0025,2.003,0.92,2.0023,2.0037,0.897
361,6.0167,2.0023,2.003,0.92,2.0042,2.0037,0.897
362,6.0333,2.0022,2.0028,0.92,2.0065,2.0072,0.881
363,6.05,2.002,2.0028,0.92,2.0084,2.0072,0.881
364,6.0667,2.0018,2.0008,0.919,2.0107,2.0116,0.876
365,6.0833,2.0016,2.0009,0.919,2.0124,2.0116,0.876
366,6.1,2.0013,2.0011,0.923,2.0145,2.016,0.864
367,6.1167,2.0011,2.0011,0.923,2.0162,2.016,0.864
368,6.1333,2.0009,2.0008,0.928,2.0182,2.0191,0.858
369,6.15,2.0009,2.0008,0.928,2.0198,2.0191,0.857
370,6.1667,2.0008,2.0011,0.935,2.0215,2.0227,0.853
371,6.1833,2.0007,2.0011,0.935,2.0226,2.0227,0.852
372,6.2,2.0006,2.0006,0.949,2.024,2.0255,0.836
373,6.2167,2.0005,2.0006,0.949,2.025,2.0255,0.837
374,6.2333,2.0005,2.0,0.963,2.0261,2.0265,0.837
375,6.25,2.0005,2.0,0.962,2.0268,2.0265,0.836
376,6.2667,2.0004,2.0004,0.961,2.0274,2.028,0.814
377,6.2833,2.0004,2.0004,0.961,2.0277,2.0281,0.814
378,6.3,2.0003,2.0007,0.95,2.028,2.029,0.803
379,6.3167,2.0002,2.0007,0.95,2.0281,2.029,0.803
380,6.3333,2.0001,2.0004,0.933,2.0284,2.0283,0.795
381,6.35,2.0,2.0004,0.932,2.0284,2.0283,0.794
382,6.3667,1.9999,1.9994,0.914,2.0285,2.0279,0.789
383,6.3833,1.9997,1.9994,0.914,2.0284,2.0279,0.789
384,6.4,1.9999,1.9991,0.916,2.0283,2.0287,0.795
385,6.4167,2.0002,1.9991,0.916,2.0283,2.0287,0.795
386,6.4333,2.0003,1.9994,0.916,2.028,2.0283,0.795
387,6.45,2.0006,1.9994,0.916,2.0278,2.0284,0.794
388,6.4667,2.0009,2.0026,0.911,2.0274,2.0282,0.783
389,6.4833,2.0012,2.0026,0.911,2.0268,2.0282,0.783
390,6.5,2.0013,2.002,0.91,2.0259,2.026,0.771
391,6.5167,2.0013,2.002,0.91,2.0249,2.026,0.77
392,6.5333,2.0014,2.002,0.91,2.0234,2.0239,0.765
393,6.55,2.0011,2.002,0.91,2.0219,2.0239,0.765
394,6.5667,2.0009,1.9998,0.912,2.02,2.02,0.762
395,6.5833,2.0008,1.9998,0.912,2.0184,2.02,0.762
396,6.6,2.0006,1.9999,0.916,2.016,2.0144,0.767
397,6.6167,2.0004,1.9999,0.916,2.0139,2.0143,0.767
398,6.6333,2.0003,2.0008,0.923,2.0115,2.0114,0.781
399,6.65,2.0004,2.0008,0.922,2.0094,2.0113,0.781
400,6.6667,2.0006,2.0002,0.937,2.0069,2.005,0.787
401,6.6833,2.0007,2.0002,0.937,2.0051,2.005,0.786
402,6.7,2.0008,2.0011,0.946,2.0028,2.0017,0.782
